ID,coal,wood,Dmin,micro,meso,SSA,pore size,Fe,waste water,Lake,DI,C0,M,pH,temperature,time,rate,Ca,q
1,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,100000,500,4,25,24,200,0,117.8
2,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,100000,500,4,25,24,200,0,158.2
3,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,6,200,0,198.7536
4,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,18,200,0,260.8641
5,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,29,200,0,277.4269
6,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,54,200,0,298.1304
7,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,75,200,0,289.849
8,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,100,200,0,306.4118
9,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,150,200,0,322.9746
10,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,190,200,0,310.5525
11,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,235,200,0,310.5525
12,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,285,200,0,314.6932
13,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,340,200,0,314.6932
14,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,384,200,0,318.8339
15,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,6,200,0,244.3013
16,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,18,200,0,327.1153
17,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,29,200,0,347.8188
18,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,54,200,0,356.1002
19,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,75,200,0,364.3816
20,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,100,200,0,364.3816
21,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,150,200,0,364.3816
22,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,190,200,0,356.1002
23,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,235,200,0,351.9595
24,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,285,200,0,360.2409
25,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,200000,500,4,25,150,200,0,298.1304
26,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,250000,500,4,25,150,200,0,335.3967
27,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,150,200,0,376.8037
28,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,350000,500,4,25,150,200,0,438.9142
29,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,400000,500,4,25,150,200,0,463.7584
30,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,450000,500,4,25,150,200,0,480.3212
31,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,200000,500,4,25,150,200,0,256.7234
32,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,250000,500,4,25,150,200,0,293.9897
33,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,150,200,0,310.5525
34,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,350000,500,4,25,150,200,0,364.3816
35,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,400000,500,4,25,150,200,0,351.9595
36,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,450000,500,4,25,150,200,0,389.2258
37,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,3,25,150,200,0,414.07
38,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,150,200,0,236.0199
39,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,5,25,150,200,0,144.9245
40,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,6.5,25,150,200,0,144.9245
41,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,7.7,25,150,200,0,136.6431
42,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,9.6,25,150,200,0,136.6431
43,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,3,25,150,200,10,397.5072
44,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,150,200,10,339.5374
45,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,5,25,150,200,10,293.9897
46,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,6.5,25,150,200,10,289.849
47,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,7.7,25,150,200,10,285.7083
48,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,9.6,25,150,200,10,281.5676
49,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,3,25,150,200,0,405.7886
50,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,150,200,0,265.0048
51,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,5,25,150,200,0,178.0501
52,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,6.5,25,150,200,0,169.7687
53,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,7.7,25,150,200,0,165.628
54,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,9.6,25,150,200,0,169.7687
55,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,3,25,150,200,10,393.3665
56,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,150,200,10,360.2409
57,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,5,25,150,200,10,327.1153
58,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,6.5,25,150,200,10,322.9746
59,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,7.7,25,150,200,10,318.8339
60,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,9.6,25,150,200,10,318.8339
61,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,1,175,0,115.9396
62,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,2,175,0,140.7838
63,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,4,175,0,169.7687
64,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,6,175,0,198.7536
65,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,8,175,0,223.5978
66,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,12,175,0,240.1606
67,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,25,175,0,256.7234
68,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,33,175,0,265.0048
69,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,48,175,0,273.2862
70,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,3,25,48,175,0,674.9341
71,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,4,25,48,175,0,563.1352
72,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,48,175,0,397.5072
73,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,6,25,48,175,0,331.256
74,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,7,25,48,175,0,314.6932
75,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,8,25,48,175,0,302.2711
76,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,9,25,48,175,0,293.9897
77,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,10,25,48,175,0,281.5676
78,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,20000,100,5,25,48,175,0,169.7687
79,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,50000,100,5,25,48,175,0,314.6932
80,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,100000,100,5,25,48,175,0,360.2409
81,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,150000,100,5,25,48,175,0,401.6479
82,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,200000,100,5,25,48,175,0,422.3514
83,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,250000,100,5,25,48,175,0,476.1805
84,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,1,150,0,53.8291
85,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,6,150,0,78.6733
86,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,12,150,0,91.0954
87,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,24,150,0,107.6582
88,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,48,150,0,128.3617
89,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,72,150,0,149.0652
90,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,96,150,0,149.0652
91,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,120,150,0,153.2059
92,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,144,150,0,153.2059
93,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,168,150,0,153.2059
94,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,192,150,0,153.2059
95,1,0,0.9,0.277013898,0.16299279,712,2.499833345,0,0,0,1,50000,100,7,25,1,150,0,4.1407
96,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,6,150,0,16.5628
97,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,12,150,0,33.1256
98,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,24,150,0,37.2663
99,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,48,150,0,57.9698
100,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,72,150,0,74.5326
101,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,96,150,0,82.814
102,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,120,150,0,91.0954
103,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,144,150,0,95.2361
104,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,168,150,0,99.3768
105,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,192,150,0,99.3768
106,1,0,0.9,0.277013898,0.241264313,712,2.499833345,0,0,0,1,20000,100,5,25,168,150,0,74.5326
107,1,0,0.9,0.277013898,0.241264313,712,2.499833345,0,0,0,1,50000,100,5,25,168,150,0,99.3768
108,1,0,0.9,0.277013898,0.241077662,712,2.499833345,0,0,0,1,100000,100,5,25,168,150,0,111.7989
109,1,0,0.9,0.277013898,0.241077662,712,2.499833345,0,0,0,1,150000,100,5,25,168,150,0,132.5024
110,1,0,0.9,0.277013898,0.241077662,712,2.499833345,0,0,0,1,200000,100,5,25,168,150,0,144.9245
111,1,0,0.9,0.277013898,0.241077662,712,2.499833345,0,0,0,1,250000,100,5,25,168,150,0,144.9245
112,1,0,0.25,0.347031921,0.569549203,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,0,120,0,0
113,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,24,120,0,57.9698
114,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,72,120,0,86.9547
115,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,168,120,0,103.5175
116,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,336,120,0,136.6431
117,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,336,120,0,107.6582
118,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,336,120,0,99.3768
119,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,336,120,0,91.0954
120,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,336,120,50,115.9396
121,1,0,0.25,0.347031921,0.571405351,1119.189453,1.5,0,0,0,1,828.14,4,6.6,25,336,120,0,95.2361
122,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,1,120,0,22.46278
123,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,3,120,0,23.74579
124,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,6,120,0,24.12969
125,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,12,120,0,24.84696
126,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,24,120,0,25.4127
127,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,48,120,0,26.69572
128,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,72,120,0,27.79689
129,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,96,120,0,28.97
130,0,0,0.4,0.347031921,0.659600496,1067.68103,1.499926925,0,0,0,1,1000,10,5.8,25,120,120,0,30.55
131,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,0.00012875
132,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,0.000158925
133,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,0.000168
134,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,0.000163525
135,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,0.00012835
136,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,0.000158525
137,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,0.00020275
138,1,0,0.55,0.347031921,0.257543445,1050,1.499926925,0,0,1,0,2.5,10000,7.5,25,0.25,250,0,0.00021765
139,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,48,170,0.7,404.16
140,1,0,0.6,0.277013898,0.301070839,1000,1.52012217,0,1,0,0,120000,200,4,25,48,170,0.7,183.48
141,0,1,0.6,0.277013898,0.668445468,2450,1.52012217,0,1,0,0,120000,200,4,25,0.25,170,0.7,121.5626706
142,0,1,0.6,0.277013898,0.668445468,2450,1.52012217,0,1,0,0,120000,200,4,25,0.5,170,0.7,168.1621084
143,0,1,0.6,0.277013898,0.668649018,2450,1.52012217,0,1,0,0,120000,200,4,25,3.5,170,0.7,273.4973757
144,0,1,0.6,0.277013898,0.668825209,2450,1.52012217,0,1,0,0,120000,200,4,25,12.5,170,0.7,334.4401983
145,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,22.5,170,0.7,369.4580982
146,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,33.5,170,0.7,399.5154395
147,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,46,170,0.7,399.5154395
148,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,57.5,170,0.7,404.753425
149,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,69.5,170,0.7,402.5464319
150,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,81.5,170,0.7,406.6829912
151,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,100,4,25,48,170,0.7,398.4
152,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,48,170,0.7,407.4
153,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,300,4,25,48,170,0.7,356.48
154,0,1,0.6,0.277013898,0.668649018,2450,1.52012217,0,1,0,0,120000,500,4,25,48,170,0.7,231.84
155,0,1,0.6,0.277013898,0.668445468,2450,1.52012217,0,1,0,0,120000,700,4,25,48,170,0.7,168.8571429
156,0,1,0.6,0.277013898,0.668445468,2450,1.52012217,0,1,0,0,120000,1100,4,25,48,170,0.7,109.0909091
157,0,1,0.6,0.277013898,0.668445468,2450,1.52012217,0,1,0,0,120000,1500,4,25,48,170,0.7,80
158,0,1,0.6,0.277013898,0.668445468,2450,1.52012217,0,1,0,0,120000,1900,4,25,48,170,0.7,63.15789474
159,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,2,25,48,170,0.7,507.55302
160,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,3,25,48,170,0.7,459.20478
161,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,48,170,0.7,420.7911
162,0,1,0.6,0.277013898,0.670117736,2450,1.52012217,0,1,0,0,120000,200,5,25,48,170,0.7,407.21382
163,0,1,0.6,0.277013898,0.670117736,2450,1.52012217,0,1,0,0,120000,200,6,25,48,170,0.7,404.56464
164,0,1,0.6,0.277013898,0.670191109,2450,1.52012217,0,1,0,0,120000,200,7,25,48,170,0.7,404.56464
165,0,1,0.6,0.277013898,0.669770956,2450,1.52012217,0,1,0,0,120000,200,8,25,48,170,0.7,403.24002
